,filename,iterations,pop_size,global_best
142,bier127.tsp,10000,20,135075.78274293325
143,bier127.tsp,10000,40,132217.97450916172
144,eil76.tsp,100,5,711.2525239086748
145,eil76.tsp,100,10,713.1020490752993
146,eil76.tsp,100,20,705.5944294036929
147,eil76.tsp,100,40,713.1020490752993
148,eil76.tsp,1000,5,676.8290662742389
149,eil76.tsp,1000,10,638.8907743337184
150,eil76.tsp,1000,20,660.5449888128834
151,eil76.tsp,1000,40,659.0573677505387
152,eil76.tsp,10000,5,635.6721575908908
153,eil76.tsp,10000,10,635.1624705897405
154,eil76.tsp,10000,20,668.7424299363878
155,eil76.tsp,10000,40,662.7278452844698
156,a280.tsp,100,5,3230.030752551144
157,a280.tsp,100,10,3230.030752551144
158,a280.tsp,100,20,3230.030752551144
159,a280.tsp,100,40,3230.030752551144
160,a280.tsp,1000,5,3206.697878498859
161,a280.tsp,1000,10,3212.7222809595532
162,a280.tsp,1000,20,3227.0006148282187
163,a280.tsp,1000,40,3230.030752551144
164,a280.tsp,10000,5,3229.9480833680145
165,a280.tsp,10000,10,3200.8814458347615
166,a280.tsp,10000,20,3197.754020395796
167,a280.tsp,10000,40,3207.992076208892
168,kroC100.tsp,100,5,25828.375744380242
169,kroC100.tsp,100,10,24974.25678263583
170,kroC100.tsp,100,20,25171.421951587647
171,kroC100.tsp,100,40,25902.347976791512
172,kroC100.tsp,1000,5,25462.867365127586
173,kroC100.tsp,1000,10,25616.305613007164
174,kroC100.tsp,1000,20,23861.997361174093
175,kroC100.tsp,1000,40,23559.178033197735
176,kroC100.tsp,10000,5,25822.579154005223
177,kroC100.tsp,10000,10,24283.50659707858
178,kroC100.tsp,10000,20,24409.741123018393
179,kroC100.tsp,10000,40,24003.680217045756
180,att48.tsp,100,5,13045.0
181,att48.tsp,100,10,13131.0
182,att48.tsp,100,20,13047.0
183,att48.tsp,100,40,13116.0
184,att48.tsp,1000,5,12873.0
185,att48.tsp,1000,10,13084.0
186,att48.tsp,1000,20,12898.0
187,att48.tsp,1000,40,12111.0
188,att48.tsp,10000,5,12734.0
189,att48.tsp,10000,10,12935.0
190,att48.tsp,10000,20,12742.0
191,att48.tsp,10000,40,11213.0
