,iterations,pop_size,algorithm,global_best,optimum
84,100,5,asym_results_CNA_start_checks_no_keep_best/,2677,1473
85,100,10,asym_results_CNA_start_checks_no_keep_best/,2672,1473
86,100,20,asym_results_CNA_start_checks_no_keep_best/,2729,1473
87,100,40,asym_results_CNA_start_checks_no_keep_best/,2506,1473
88,1000,5,asym_results_CNA_start_checks_no_keep_best/,2541,1473
89,1000,10,asym_results_CNA_start_checks_no_keep_best/,2001,1473
90,1000,20,asym_results_CNA_start_checks_no_keep_best/,2247,1473
91,1000,40,asym_results_CNA_start_checks_no_keep_best/,1889,1473
92,10000,5,asym_results_CNA_start_checks_no_keep_best/,2090,1473
93,10000,10,asym_results_CNA_start_checks_no_keep_best/,2023,1473
94,10000,20,asym_results_CNA_start_checks_no_keep_best/,1885,1473
95,10000,40,asym_results_CNA_start_checks_no_keep_best/,1600,1473
