,filename,iterations,pop_size,global_best
142,bier127.tsp,10000,20,294227.3821011915
143,bier127.tsp,10000,40,209654.3044561379
144,eil76.tsp,100,5,1829.233014874523
145,eil76.tsp,100,10,1944.8745869190257
146,eil76.tsp,100,20,1780.3855187929223
147,eil76.tsp,100,40,1762.2866867708667
148,eil76.tsp,1000,5,1320.7222832453006
149,eil76.tsp,1000,10,1328.67245110112
150,eil76.tsp,1000,20,1177.5109696937643
151,eil76.tsp,1000,40,1057.2963632578233
152,eil76.tsp,10000,5,959.3185940360789
153,eil76.tsp,10000,10,906.0755527061588
154,eil76.tsp,10000,20,792.9880871077082
155,eil76.tsp,10000,40,841.0744628763381
156,a280.tsp,100,5,28465.620546532926
157,a280.tsp,100,10,28781.408462109703
158,a280.tsp,100,20,27944.24342167298
159,a280.tsp,100,40,26530.750017200564
160,a280.tsp,1000,5,23160.983762272554
161,a280.tsp,1000,10,21370.608721187004
162,a280.tsp,1000,20,17207.29579272625
163,a280.tsp,1000,40,16202.271849194807
164,a280.tsp,10000,5,13123.4421975234
165,a280.tsp,10000,10,12381.614435315252
166,a280.tsp,10000,20,12579.89319069256
167,a280.tsp,10000,40,9645.277845800008
168,kroC100.tsp,100,5,130944.09838309913
169,kroC100.tsp,100,10,113542.38552456914
170,kroC100.tsp,100,20,115269.56107934796
171,kroC100.tsp,100,40,105595.73394922061
172,kroC100.tsp,1000,5,75230.32655672701
173,kroC100.tsp,1000,10,73786.31133905161
174,kroC100.tsp,1000,20,67540.35241915769
175,kroC100.tsp,1000,40,60484.837552343815
176,kroC100.tsp,10000,5,59848.20296824549
177,kroC100.tsp,10000,10,61852.78607559149
178,kroC100.tsp,10000,20,42636.22368861555
179,kroC100.tsp,10000,40,35483.340408516844
180,att48.tsp,100,5,31808.0
181,att48.tsp,100,10,33835.0
182,att48.tsp,100,20,28662.0
183,att48.tsp,100,40,24536.0
184,att48.tsp,1000,5,26046.0
185,att48.tsp,1000,10,19657.0
186,att48.tsp,1000,20,16783.0
187,att48.tsp,1000,40,16135.0
188,att48.tsp,10000,5,17665.0
189,att48.tsp,10000,10,16412.0
190,att48.tsp,10000,20,13145.0
191,att48.tsp,10000,40,11892.0
