,dataset,runtime,fitness
0,a280,2409,3109
1,att48,188,11536
2,berlin52,408,8003
3,bier127,1051,126200
4,burma14,115,3369
5,ch130,1012,6717
6,ch150,1195,6965
7,eil51,425,451
8,eil101,833,673
9,eil76,626,572
10,kroC100,828,23336
11,kroA150,1244,29902
12,pr76,627,124137
13,u159,1242,46149
14,ulysses16,130,6865
15,ulysses22,168,7046
