,filename,iterations,pop_size,global_best
142,bier127.tsp,10000,20,135870.03188127888
143,bier127.tsp,10000,40,132344.07261846916
144,eil76.tsp,100,5,706.9150819548455
145,eil76.tsp,100,10,706.9150819548455
146,eil76.tsp,100,20,706.9150819548455
147,eil76.tsp,100,40,706.9150819548455
148,eil76.tsp,1000,5,702.6208863136808
149,eil76.tsp,1000,10,700.392898049722
150,eil76.tsp,1000,20,706.9150819548455
151,eil76.tsp,1000,40,645.9378006197845
152,eil76.tsp,10000,5,645.9378006197845
153,eil76.tsp,10000,10,649.2669382593991
154,eil76.tsp,10000,20,665.9271245457475
155,eil76.tsp,10000,40,596.6439851091101
156,a280.tsp,100,5,3171.1538114248083
157,a280.tsp,100,10,3171.1538114248083
158,a280.tsp,100,20,3171.1538114248083
159,a280.tsp,100,40,3171.1538114248083
160,a280.tsp,1000,5,3171.1538114248083
161,a280.tsp,1000,10,3163.5844335550146
162,a280.tsp,1000,20,3163.5844335550146
163,a280.tsp,1000,40,3171.1538114248083
164,a280.tsp,10000,5,3167.6317492650282
165,a280.tsp,10000,10,3151.6317492650282
166,a280.tsp,10000,20,3073.6218421033127
167,a280.tsp,10000,40,3062.4876586789237
168,kroC100.tsp,100,5,25425.725772131344
169,kroC100.tsp,100,10,25425.725772131344
170,kroC100.tsp,100,20,25425.725772131344
171,kroC100.tsp,100,40,25425.725772131344
172,kroC100.tsp,1000,5,23849.691589189893
173,kroC100.tsp,1000,10,23248.13340726329
174,kroC100.tsp,1000,20,25425.725772131344
175,kroC100.tsp,1000,40,25421.335838527804
176,kroC100.tsp,10000,5,25332.3831469811
177,kroC100.tsp,10000,10,25321.69409991893
178,kroC100.tsp,10000,20,23187.04824575886
179,kroC100.tsp,10000,40,23248.13340726329
180,att48.tsp,100,5,13198.0
181,att48.tsp,100,10,13198.0
182,att48.tsp,100,20,13198.0
183,att48.tsp,100,40,13198.0
184,att48.tsp,1000,5,13112.0
185,att48.tsp,1000,10,12816.0
186,att48.tsp,1000,20,12883.0
187,att48.tsp,1000,40,12876.0
188,att48.tsp,10000,5,12934.0
189,att48.tsp,10000,10,12564.0
190,att48.tsp,10000,20,12395.0
191,att48.tsp,10000,40,11923.0
